iter	Passed	Remaining
0	97	19396
1	102	10143
2	107	7044
3	111	5484
4	116	4536
5	117	3805
6	122	3367
7	124	2983
8	128	2729
9	132	2525
10	134	2309
11	138	2171
12	143	2065
13	147	1964
14	153	1890
15	157	1814
16	163	1759
17	164	1666
18	169	1619
19	175	1575
20	179	1531
21	183	1486
22	188	1452
23	193	1416
24	197	1384
25	202	1354
26	206	1323
27	211	1298
28	216	1277
29	220	1251
30	226	1234
31	230	1211
32	235	1191
33	239	1168
34	243	1147
35	248	1133
36	253	1116
37	257	1099
38	264	1091
39	269	1076
40	273	1060
41	278	1046
42	282	1032
43	287	1018
44	292	1006
45	296	992
46	301	980
47	305	967
48	310	956
49	315	947
50	320	935
51	324	923
52	328	911
53	334	903
54	338	892
55	342	881
56	348	873
57	352	863
58	357	855
59	361	844
60	366	835
61	370	824
62	374	814
63	378	804
64	383	796
65	388	787
66	392	778
67	396	769
68	401	761
69	406	755
70	411	747
71	415	739
72	420	732
73	426	725
74	430	717
75	435	709
76	440	703
77	444	695
78	448	687
79	453	679
80	458	673
81	462	665
82	467	658
83	471	651
84	476	644
85	480	636
86	485	631
87	490	624
88	494	616
89	500	612
90	506	606
91	510	599
92	514	592
93	520	586
94	524	580
95	529	573
96	533	566
97	537	559
98	541	552
99	546	546
100	551	540
101	556	534
102	560	527
103	564	521
104	569	514
105	575	510
106	580	504
107	584	498
108	589	492
109	594	486
110	598	480
111	603	473
112	606	467
113	610	460
114	615	454
115	620	449
116	625	443
117	629	437
118	633	431
119	638	425
120	644	420
121	648	414
122	652	408
123	658	403
124	664	398
125	668	392
126	672	386
127	677	381
128	682	375
129	686	369
130	691	364
131	696	358
132	700	352
133	705	347
134	710	341
135	714	336
136	718	330
137	722	324
138	727	319
139	732	313
140	737	308
141	743	303
142	748	298
143	753	292
144	757	287
145	761	281
146	767	276
147	772	271
148	776	265
149	780	260
150	785	254
151	789	249
152	795	244
153	800	239
154	804	233
155	808	228
156	813	222
157	818	217
158	822	212
159	827	206
160	831	201
161	836	196
162	842	191
163	847	186
164	852	180
165	857	175
166	863	170
167	868	165
168	872	159
169	876	154
170	880	149
171	884	144
172	892	139
173	897	134
174	901	128
175	907	123
176	911	118
177	917	113
178	922	108
179	926	102
180	931	97
181	936	92
182	941	87
183	945	82
184	951	77
185	956	71
186	961	66
187	966	61
188	971	56
189	981	51
190	986	46
191	990	41
192	997	36
193	1002	31
194	1007	25
195	1011	20
196	1015	15
197	1020	10
198	1025	5
199	1029	0
